Title,Author,Average Rating,Rating,Year Published,Edition
Unveiled: Unveiling the Truth to the Façade,Celsi Leigh,4.11,182,0,2
Midlife Hexes and Familiar Exes: A Paranormal Women’s Fiction Novel,Jennifer L. Hart,4.47,403,0,3
Being Netta Wilde: uplifting and inspiring women's fiction (The Netta Wilde Series Book 1),Hazel  Ward,4.37,779,0,5
MOJU: THE BLIND BEAST (Shinbaku Books: Fictions),Edogawa Rampo,3.57,449,1928,13
American Short Story Masterpieces: A Rich Selection of Recent Fiction from America's Best Modern Writers,Raymond Carver,4.08,419,1987,9
Documentary: A History of the Non-Fiction Film,Erik Barnouw,3.86,423,1975,15
Vanishing Acts: A Science Fiction Anthology,Ellen Datlow,3.78,508,2000,7
The Life of Crime: Unravelling the Mysteries of Fiction’s Favourite Genre,Martin Edwards,4.04,230,2022,4
The Wedding Machine,Beth Webb Hart,3.19,555,2008,9
Best Contemporary Women's Fiction: Six Novels,Nicole Mones,4.25,264,2010,2
Against a Crimson Sky (Compelling and Thrillingly Paced Historical Fiction) (The Poland Trilogy Book 2),James Conroyd Martin,4.02,"1,337",2006,16
The Floor of the Sky,Pamela Carter Joern,3.74,386,2006,9
Widdershins,Helen   Steadman,3.93,519,2017,11
Midnight Hour: A chilling anthology of crime fiction from 20 acclaimed authors of color,Abby L. Vandiver,3.63,285,2021,7
Between the Lines: Master the Subtle Elements of Fiction Writing,Jessica Page Morrell,4.13,309,2006,14
Vengeance: A Vigilante Crime Fiction Thriller (The Vendetta Trifecta Book 1),A.J. Scudiere,4.35,385,2008,15
"My Mind's Eye (Pub Fiction, #1)",Gillian  Jones,3.94,479,2015,3
How We Disappeared: LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2020,Jing-Jing Lee,4.21,"9,358",2019,25
The Program Era: Postwar Fiction and the Rise of Creative Writing,Mark McGurl,3.88,180,2009,9
"My Mind's Eye (Pub Fiction, #1)",Gillian  Jones,3.94,479,2015,3
Still Life: thrilling and page-turning crime fiction from the author of the bestselling Inspector Gamache novels,Louise Penny,3.90,"249,260",2005,130
The Dragon Defenders - Book One (The Dragon Defenders: the runaway phenonemon junior fiction series 1),James   Russell,4.32,432,0,7
Charlie Chan is Dead: An Anthology of Contemporary Asian American Fiction,Jessica Hagedorn,3.96,215,1993,1
The Floor of the Sky,Pamela Carter Joern,3.74,386,2006,9
A Tin Train Christmas:,Melanie Lageschulte,4.54,760,0,8
The Midwife: A Hauntingly Beautiful and Heartbreaking Historical Fiction,Tricia Cresswell,4.11,"1,706",2022,7
"Dostoevsky: Language, Faith, and Fiction",Rowan Williams,4.25,159,2008,11
How We Disappeared: LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2020,Jing-Jing Lee,4.21,"9,358",2019,25
Circe,Madeline Miller,4.24,"1,054,901",2018,196
"Dostoevsky: Language, Faith, and Fiction",Rowan Williams,4.25,159,2008,11
Dominion: An Anthology of Speculative Fiction from Africa and the African Diaspora,Zelda Knight,3.99,126,2020,4
Dead North: Canadian Zombie Fiction,Silvia Moreno-Garcia,3.81,118,2013,6
The Auschwitz Photograph: A WWII Historical Fiction Novel,Julie Tulba,4.52,538,0,4
Tasting Light: Ten Science Fiction Stories to Rewire Your Perceptions,A.R. Capetta,4.10,144,2022,4
A Tin Train Christmas:,Melanie Lageschulte,4.54,760,0,8
World Engines: Creator: A post climate change high concept science fiction odyssey,Stephen Baxter,3.77,618,2020,6
What's Done in The Dark: Season 1: African American Urban Fiction,Solae Dehvine,4.10,309,2011,1
How We Disappeared: LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2020,Jing-Jing Lee,4.21,"9,358",2019,25
Maggie: A Girl of the Streets and Other Short Fiction,Stephen Crane,3.36,679,1969,37
"Castles, Customs, and Kings Volume 2: True Tales by English Historical Fiction Authors",Debra  Brown,3.81,54,2015,4
The Breakout Novelist: Craft and Strategies for Career Fiction Writers,Donald Maass,4.33,393,2010,9
Biketopia: Feminist Bicycle Science Fiction Stories in Extreme Futures,Elly Blue,3.76,219,2017,9
"Self-Promote & Succeed: The No Boring Books Way to Build Your Brand, Attract Your Audience, and Market Your Non-Fiction Book",Julie Broad,4.93,15,0,1
Yellow Rose Bride (Wildflower Series #1) (Steeple Hill Women's Fiction #42),Lori Copeland,3.92,625,2006,10
The Best Military Science Fiction of the 20th Century,Harry Turtledove,3.81,447,2001,5
The Cuckoo Child: The heartwarming and emotional historical fiction romance from the Sunday Times bestselling author,Katie Flynn,4.19,930,2005,11
Read Real Japanese Fiction: Short Stories by Contemporary Writers,Michael Emmerich,4.21,251,2008,4
Torn,Amber Lehman,3.77,744,2009,4
Strangest Fiction Anthology - Volume 1,Jon Richter,3.83,6,0,2
Afro-Bougie Blues: A Collection of Short Fiction,Lauren   Wilson,4.55,85,2022,3
"Women of Wonder: The Contemporary Years, Science Fiction by Women from the 1970s to the 1990s",Pamela Sargent,4.05,193,1995,4
Is Heathcliff a Murderer?: Great Puzzles in Nineteenth-Century Fiction,John Sutherland,3.75,352,1996,10
The Fredric Brown MEGAPACK ®: 33 Classic Science Fiction Stories,Fredric Brown,4.20,442,2013,3
A Mother's Hope: The heartwarming and emotional historical fiction romance from the Sunday Times bestselling author,Katie Flynn,4.36,892,2009,10
We See a Different Frontier: A postcolonial speculative fiction anthology,Fábio Fernandes,4.01,151,2013,3
Castle of Days: Short Fiction and Essays,Gene Wolfe,3.93,476,1992,8
"The Orwell Reader: Fiction, Essays, and Reportage",George Orwell,4.34,316,1956,12
Super Extra Grande,Yoss,3.19,846,2014,12
Mythmakers and Lawbreakers: Anarchist Writers on Fiction,Margaret Killjoy,4.13,174,2009,1
The Big Front Yard: And Other Stories (The Complete Short Fiction of Clifford D. Simak Book 2),Clifford D. Simak,4.24,338,2015,6
Strangest Fiction Anthology - Volume 1,Jon Richter,3.83,6,0,2
We See a Different Frontier: A postcolonial speculative fiction anthology,Fábio Fernandes,4.01,151,2013,3
Squeeze Me: The ultimate crime fiction satire for the post-Trump era (Skink Book 7),Carl Hiaasen,4.03,"32,006",2020,26
Super Extra Grande,Yoss,3.19,846,2014,12
A Texas Virgin and a Savage Millionaire: An Urban Fiction Hood Romance,Vee Bryant,4.63,250,0,2
Snowflakes in the Wind: A Heartwarming Historical Fiction Novel to Curl up With,Rita Bradshaw,4.50,692,0,8
Witch Way Did She Go : Paranormal Women's Fiction Romance (Silver Sisters Book 2),Jennifer L. Hart,4.54,442,0,2
"Astounding Science Fiction, July 1940",John W. Campbell Jr.,3.86,539,1940,1
A Texas Virgin and a Savage Millionaire: An Urban Fiction Hood Romance,Vee Bryant,4.63,250,0,2
"Putting the Science in Fiction: Expert Advice for Writing with Authenticity in Science Fiction, Fantasy, & Other Genres",Dan Koboldt,4.20,261,2018,4
The Year's Best Science Fiction: Twenty-Fifth Annual Collection,Gardner Dozois,3.99,509,2008,11
Marie Benedict Historical Fiction Bundle,Marie Benedict,4.06,102,0,1
"Lightspeed Magazine, Issue 61, June 2015: Queers Destroy Science Fiction!",Seanan McGuire,3.95,395,2015,8
Fiction Writing Journal & Workbook,Robin  Woods,4.88,17,2015,2
"Astounding Science Fiction, July 1940",John W. Campbell Jr.,3.86,539,1940,1
"Astounding Science-Fiction, March 1942",John W. Campbell Jr.,3.96,229,1942,1
Famous Science-Fiction Stories: Adventures in Time and Space,Raymond J. Healy,4.19,308,1946,25
The Collected Short Fiction of C.J. Cherryh,C.J. Cherryh,3.97,403,2004,12
Crafting Novels & Short Stories: The Complete Guide to Writing Great Fiction,Writer's Digest Books,3.90,363,2011,5
The White Venus: Historical fiction with heart and drama (The Love and War Series),Rupert Colley,4.14,303,2014,4
"The Best Science Fiction and Fantasy of the Year, Volume 6",Jonathan Strahan,3.89,438,2012,6
Why We Read Fiction: Theory of Mind and the Novel,Lisa Zunshine,3.69,278,2006,6
"The Best Science Fiction and Fantasy of the Year, Volume 5",Jonathan Strahan,3.79,272,2011,7
The Year's Best Science Fiction: Eighteenth Annual Collection,Gardner Dozois,4.05,430,2001,7
"Other Victims: A Historical Fiction about the ""Other Victims"" of the Holocaust. A Biracial Child Experiences Prejudice and Persecution During the Nazis' Occupation of Berlin",Rachael JanLynnette McCormick,3.22,23,2013,3
By Summer's End,Rosemarie Naramore,4.12,336,2014,1
The Second Science Fiction Megapack,Robert Silverberg,3.83,520,2011,4
Rocket Fuel: Some of the Best From Tor.com Non-Fiction,Bridget McGovern,3.44,159,2018,2
The Second Science Fiction Megapack,Robert Silverberg,3.83,520,2011,4
Rocket Fuel: Some of the Best From Tor.com Non-Fiction,Bridget McGovern,3.44,159,2018,2
"Astounding Science Fiction, February 1940",John W. Campbell Jr.,3.94,391,1940,1
Friend or Fiction,Abby Cooper,4.06,360,2019,4
THE LORD EDWARD'S ARCHER BOX SET 1-5 five gripping historical fiction novels,Griff  Hosker,4.57,565,0,1
The Year's Best Science Fiction: Twenty-Eighth Annual Collection,Gardner Dozois,3.85,550,2011,10
"Trafficked: Marlene's Story of Survival, A Teen Thrilling Kidnap Suspense Crime Fiction Novel (Trafficked Series Book 1)",MJ Creek,3.75,333,0,3
On the Rocks (Pub Fiction #2),Gillian  Jones,4.55,249,2015,3
Enchanted: Erotic Bedtime Stories for Women,Nancy Madore,3.31,"2,329",2004,3
The King in Yellow and Other Horrors: The Best Weird Fiction & Ghost Stories of Robert W. Chambers,Robert W. Chambers,3.69,"8,588",1970,24
The Year's Best Science Fiction: Twenty-Eighth Annual Collection,Gardner Dozois,3.85,550,2011,10
The Vietnam Reader: The Definitive Collection of Fiction and Nonfiction on the War,Stewart O'Nan,4.15,239,1998,10
"Astounding Science Fiction, September 1940",John W. Campbell Jr.,3.84,570,1940,1
The Dwarf,Se-hui Cho,3.67,365,1978,13
"Sort of Stranger Than Fiction (Petit Morts, #7)",Josh Lanyon,3.87,602,2010,3
"The Fifth Science Fiction Megapack  (Science Fiction Megapack, #5)",Gardner Dozois,3.86,400,2012,3
Friend or Fiction,Abby Cooper,4.06,360,2019,4
"The Age of the Crisis of Man: Thought and Fiction in America, 1933–1973",Mark Greif,4.13,95,2014,7
Science Fiction Short Stories,Laura Bulbeck,3.71,135,2015,6
On the Rocks (Pub Fiction #2),Gillian  Jones,4.55,249,2015,3
"Asimov's Science Fiction, October/November 2011",Sheila Williams,3.96,361,2011,2
The Loyal Angel: An Epic Christian Fiction Novel,Nathan Crocker,4.64,291,0,3
Enchanted: Erotic Bedtime Stories for Women,Nancy Madore,3.31,"2,329",2004,3
Repetition (Collier Fiction),Peter Handke,3.61,352,1986,37
"Sort of Stranger Than Fiction (Petit Morts, #7)",Josh Lanyon,3.87,602,2010,3
Just Write: Creating Unforgettable Fiction and a Rewarding Writing Life,James Scott Bell,4.31,500,2016,3
Fast Fiction: A Guide to Outlining and Writing a First-Draft Novel in Thirty Days,Denise Jaden,3.99,170,2014,3
"In Heaven, Everything is Fine: Fiction Inspired by David Lynch",Cameron Pierce,3.72,138,2013,4
Tarnished Silver,Chautona Havig,4.20,326,2013,5
"The Fifth Science Fiction Megapack  (Science Fiction Megapack, #5)",Gardner Dozois,3.86,400,2012,3
Fast Fiction: A Guide to Outlining and Writing a First-Draft Novel in Thirty Days,Denise Jaden,3.99,170,2014,3
Qui es-tu Alaska ? (Pôle Fiction),John Green,3.97,"1,600,242",2005,300
Just Write: Creating Unforgettable Fiction and a Rewarding Writing Life,James Scott Bell,4.31,500,2016,3
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,3.97,293,1941,3
Showtime!: gripping historical fiction from the bestselling author of Black Sheep,Judy Nunn,3.77,605,0,5
The Very Best of Fantasy & Science Fiction: Sixtieth Anniversary Anthology,Gordon van Gelder,4.18,276,2009,1
America Dark: Post-Apocalyptic EMP Survival Fiction (Willow Falls Book 1),Keith Taylor,4.12,192,0,2
The Loyal Angel: An Epic Christian Fiction Novel,Nathan Crocker,4.64,291,0,3
"Supernatural: The Official Cookbook: Burgers, Pies, and Other Bites from the Road",Julie  Tremaine,4.57,383,2019,5
"Wizards, Aliens, and Starships: Physics and Math in Fantasy and Science Fiction",Charles L. Adler,3.83,143,2014,6
H.G. Wells: The Science Fiction Collection,H.G. Wells,4.16,372,2012,3
The Best Science Fiction of the Year: Volume Two,Neil Clarke,3.73,208,2017,7
Creating Characters: The Complete Guide to Populating Your Fiction,Writer's Digest Books,3.98,259,2014,7
The Seventh Science Fiction MEGAPACK ®: 25 Modern and Classic Stories,John Gregory Betancourt,3.84,469,2013,3
Fiction No More (Vincent Malone Book 3),Ted Clifton,4.25,183,0,1
"Writing Monsters: How to Craft Believably Terrifying Creatures to Enhance Your Horror, Fantasy, an d Science Fiction",Philip Athans,3.98,369,2014,7
The Ship of Ishtar,A. Merritt,3.56,572,1924,240
An Anthology of Fiction by Trans Women of Color,Ellyn Peña,4.26,27,2016,1
A Burning London Sky: A WWII Historical Fiction Novel (World War II Brave Women Fiction Book 4),Deb Stratas,4.53,422,0,2
Flashy Fiction and Other Insane Tales,Jen Wylie,3.90,70,2012,2
A Not So Fictional Fall (Sweater Weather #6),Savannah Scott,4.19,"2,537",0,2
True Stories: The Collected Short Non-Fiction,Helen Garner,4.13,"1,153",1996,14
Story and Discourse:  Narrative Structure in Fiction and Film,Seymour Chatman,3.81,286,1978,12
The Mandarins (Norton Paperback Fiction),Simone de Beauvoir,4.18,"5,720",1954,76
Growing An Inch,Stanley Gordon West,4.09,396,2003,5
Irish Girl: Stories,Tim Johnston,3.88,306,2009,9
Twisty Little Passages: An Approach to Interactive Fiction,Nick Montfort,3.76,329,2003,8
Fatal Serum,Sam   Black,4.03,60,2012,5
Lost Transmissions: The Secret History of Science Fiction and Fantasy,Desirina Boskovich,3.68,173,2019,5
Red Dirt Road: 'A rising star of Australian crime fiction ' SUNDAY TIMES,S.R. White,3.94,"1,247",2023,7
Fatal Serum,Sam   Black,4.03,60,2012,5
Your Face In The Stars: A Wartime Love Story,John Ellsworth,4.21,343,0,3
The Very Best of the Best: 35 Years of the Year's Best Science Fiction,Gardner Dozois,3.81,385,2019,7
"A Sister’s Vow: A Gripping, Heart-Wrenching WW2 Historical Fiction Novel (World War II Brave Women Fiction Book 4)",Adiva Geffen,4.59,381,0,2
Tomorrow Factory: Collected Fiction,Rich  Larson,4.15,356,2018,8
"Digging Up Trouble (Sweet Fiction Bookshop, #1)",Kitt Crowe,3.71,375,2021,6
There Is a Graveyard That Dwells in Man: More Strange Fiction and Hallucinatory Tales,David Tibet,4.13,139,0,3
Grant Us Mercy: Installment Three: Post-Apocalyptic Survival Fiction,D.C. Little,4.55,244,0,1
Modern Mythmakers: 35 Interviews with Horror & Science Fiction Writers and Filmmakers,Michael McCarty,3.81,128,2015,3
Year's Best Weird Fiction; Volume 2,Kathe Koja,3.99,254,2015,2
Modern Mythmakers: 35 Interviews with Horror & Science Fiction Writers and Filmmakers,Michael McCarty,3.81,128,2015,3
Gotta Read It!: Five Simple Steps to a Fiction Pitch that Sells,Libbie Hawker,4.29,361,2014,2
Microworlds: Writings on Science Fiction and Fantasy,Stanisław Lem,3.96,267,1984,13
Write Short Kindle Books: A Self-Publishing Manifesto for Non-Fiction Authors (Indie Author Success #1),Nathan Meunier,4.21,322,2015,1
Transcendent 3: The Year's Best Transgender Speculative Fiction,Bogi Takács,4.11,110,2018,3
The Very Best of the Best: 35 Years of the Year's Best Science Fiction,Gardner Dozois,3.81,385,2019,7
"A Sister’s Vow: A Gripping, Heart-Wrenching WW2 Historical Fiction Novel (World War II Brave Women Fiction Book 4)",Adiva Geffen,4.59,381,0,2
Year's Best Weird Fiction; Volume 2,Kathe Koja,3.99,254,2015,2
"Midlife Medicine Box Set, Books 1-5: A Paranormal Women's Fiction Cozy Mystery (Midlife Medicine Collections Book 1)",Amorette Anderson,4.53,396,0,1
The Harbrace Anthology of Short Fiction - Fifth Edition,Jon C. Stott,3.65,284,1941,1
Gotta Read It!: Five Simple Steps to a Fiction Pitch that Sells,Libbie Hawker,4.29,361,2014,2
Microworlds: Writings on Science Fiction and Fantasy,Stanisław Lem,3.96,267,1984,13
"Midlife Medicine Box Set, Books 1-5: A Paranormal Women's Fiction Cozy Mystery (Midlife Medicine Collections Book 1)",Amorette Anderson,4.53,396,0,1
The Sorrows,Jonathan Janz,3.66,655,2012,2
Better than Fiction 2: True Adventures from 30 Great Fiction Writers,Dave Eggers,3.60,269,2015,4
Write Short Kindle Books: A Self-Publishing Manifesto for Non-Fiction Authors (Indie Author Success #1),Nathan Meunier,4.21,322,2015,1
"Hex in the City (Fiction River, #5)",Kerrie L. Hughes,3.82,215,2013,5
Fact Vs. Fiction: Teaching Critical Thinking Skills in the Age of Fake News,Jennifer Lagarde,4.45,306,2018,4
Red Planets: Marxism and Science Fiction,Mark Bould,3.69,103,2009,7
War Stories: New Military Science Fiction,Jaym Gates,3.88,211,2014,4
Red Planets: Marxism and Science Fiction,Mark Bould,3.69,103,2009,7
"Free Kindle Classics: Linked List Of Over 1,000 Fiction Books From Classic Authors For Free Download From Amazon",Morris Rosenthal,3.50,207,2010,1
The Joy of Writing Sex: A Guide for Fiction Writers,Elizabeth Benedict,3.74,346,1996,21
The Harbrace Anthology of Short Fiction - Fifth Edition,Jon C. Stott,3.65,284,1941,1
The Kissing Game: Stories of Defiance and Flash Fictions,Aidan Chambers,3.22,563,2011,17
Titanic Sinks!: Experience the Titanic's Doomed Voyage in this Unique Presentation of Fact and Fiction,Barry Denenberg,4.03,349,2011,3
The Year's Best Science Fiction: Twenty-Fourth Annual Collection,Gardner Dozois,4.03,552,2007,7
World Engines: Destroyer: A post climate change high concept science fiction odyssey,Stephen Baxter,3.80,"1,224",2019,9
Checker and the Derailleurs,Lionel Shriver,3.55,379,1989,21
Talleyman: Thrilling historical naval fiction (The Victorian Maritime Adventure Series Book 1),John  James,3.51,344,1988,5
"Black Noir: Mystery, Crime, and Suspense Fiction by African-American Writers",Otto Penzler,3.88,150,2009,9
The Kissing Game: Stories of Defiance and Flash Fictions,Aidan Chambers,3.22,563,2011,17
She: Fiction,Michelle Latiolais,3.76,200,2016,9
With Every Breath: A Contemporary Christian Fiction Second-Chance Romance Novel (McCall Family Series Book 1),Natasha D. Frazier,4.56,345,0,2
Checker and the Derailleurs,Lionel Shriver,3.55,379,1989,21
Fact Vs. Fiction: Teaching Critical Thinking Skills in the Age of Fake News,Jennifer Lagarde,4.45,306,2018,4
The Year's Best Science Fiction & Fantasy Novellas 2015,Paula Guran,3.72,163,2015,2
All the Devils Are Here: thrilling and page-turning crime fiction from the author of the bestselling Inspector Gamache novels,Louise Penny,4.43,"69,800",2020,32
The Last Words of Dutch Schultz: A Fiction in the Form of a Film Script,William S. Burroughs,3.65,395,1969,22
Misfits,Hunter Shea,4.00,221,2020,6
"50 Masterpieces of Gothic Fiction Vol. 1: Dracula, Frankenstein, The Tell-Tale Heart, The Picture Of Dorian Gray...",Mary Wollstonecraft Shelley,4.10,49,0,1
World Engines: Destroyer: A post climate change high concept science fiction odyssey,Stephen Baxter,3.80,"1,224",2019,9
The Helsingør Sewing Club: The most moving and gripping World War Two historical fiction novel inspired by a remarkable true story!,Ella Gyland,4.12,337,0,4
The Soft Landing Collection: Sapphic Fantasy and Science Fiction Stories,Jacquelynn Lyon,4.28,89,0,4
"A Stark and Wormy Knight: Tales of Fantasy, Science Fiction and Suspense",Tad Williams,3.77,222,2011,3
Grant Us Mercy: Installment Four: Post-Apocalyptic Survival Fiction,D.C. Little,4.58,258,0,1
The Fiction Writer's Handbook,Shelly Lowenkopf,3.93,102,2012,3
. . . And Then There Were None,Eric Frank Russell,4.12,489,1951,4
There Is a Tree More Ancient Than Eden,Leon Forrest,4.16,76,1973,5
The Key: How to Write Damn Good Fiction Using the Power of Myth,James N. Frey,3.89,320,1994,12
The Best Summer of Our Lives: (Inspirational Religious Fiction with Romance and Friendship Drama Set in the Late 1970s and 1990s),Rachel Hauck,3.91,"1,827",2023,9
Robot Ghosts and Wired Dreams: Japanese Science Fiction from Origins to Anime,Christopher Bolton,3.73,143,2007,5
The Nearly Girl (Inanna Poetry & Fiction Series),Lisa de Nikolits,3.61,61,2016,3
Twenty-First Century Science Fiction: An Anthology,David G. Hartwell,3.80,353,2013,14
Strange Sisters: The Art of Lesbian Pulp Fiction 1949-1969,Jaye Zimet,3.98,124,1999,1
"How to Kill a Vampire: Fangs in Folklore, Film and Fiction",Liisa Ladouceur,4.08,89,2013,12
"Seashell Summer: Romantic Women's Fiction (Cliffside Point, 9)",Ellen Joy,4.68,296,0,2
Astrid's War: Attack on the USS Valley Forge (Astrid Amundsen Military Science Fiction Series Book 1),Alan Householder,3.88,299,0,2
Writing Genre Fiction: Creating Imaginary Worlds: The 12 Rules,Charles Christian,3.67,325,2014,2
Wartime Christmas Tales: A WWII Flash Fiction Anthology,Dianne Ascroft,3.90,207,2020,1
Judgment Day: Western Historical Fiction,G. Michael Hopf,4.20,256,0,2
"Ashes: A WW2 historical fiction inspired by true events. A story of friendship, war and courage",Christopher de Vinck,4.13,349,2020,6
The Ethnic Project: Transforming Racial Fiction into Ethnic Factions,Vilna Bashi Treitler,4.14,65,2013,5
A Fatal Grace: thrilling and page-turning crime fiction from the author of the bestselling Inspector Gamache novels,Louise Penny,4.10,"125,653",2006,111
Colonist Soldier: A Science Fiction Harem Adventure (Guardian of Vesta Colony Book 1),Dan Raxor,4.08,274,0,2
The Magic Key Cards: A Science Fiction Thriller Suspense Spy Adventure Conspiracy Theory Comedy,Russell Hasan,2.56,16,0,2
The Year's Best Science Fiction: Seventeenth Annual Collection,Gardner Dozois,4.09,437,2000,9
Economic Science Fictions,William  Davies,3.60,85,2018,4
We're Here: The Best Queer Speculative Fiction of 2020,C.L. Clark,4.04,96,2021,4
Riding the Flume,Patricia Curtis Pfitsch,3.76,465,2002,11
A Fatal Grace: thrilling and page-turning crime fiction from the author of the bestselling Inspector Gamache novels,Louise Penny,4.10,"125,653",2006,111
Mad Skills,Walter Greatshell,3.38,253,2010,8
We're Here: The Best Queer Speculative Fiction of 2020,C.L. Clark,4.04,96,2021,4
Blaze: A Superhero Fiction Fantasy Novel,Ryan Sheets,4.50,4,0,2
Twenty-First Century Science Fiction: An Anthology,David G. Hartwell,3.80,353,2013,14
Primeval Origins : Light of Honor (Epic Fantasy / Science Fiction Book Series 2),B.A. Vonsik,4.52,31,2015,10
Women Invent the Future: A Science Fiction Anthology,Maggie Aderin-Pocock,3.63,70,2018,2
A Curious Invitation: The Forty Greatest Parties in Fiction,Suzette Field,3.32,192,2012,8
The Lighthouse Inn: A Women's Fiction Mystery (Nantucket Point Book 2),Jessie Newton,4.41,254,0,2
Beauty for Ashes (Steeple Hill Women's Fiction #9),Dorothy Clark,4.13,351,2004,11
Monsters From The Id: The Rise Of Horror In Fiction And Film,E. Michael Jones,4.13,148,2000,3
Near Total Eclipse: Solar Plexus 2 (A Dystopian EMP Post-Apocalyptic Fiction Novel),Victor Zugg,4.26,356,0,2
The Complete Fiction: The Bean Trees / Homeland and Other Stories / Animal Dreams / Pigs in Heaven,Barbara Kingsolver,4.40,368,1995,3
Midlife Magic Mirror: A Paranormal Women's Fiction Novel (Legacy Witches of Shadow Cove Book 1),Jennifer L. Hart,4.57,321,0,2
Writing Vivid Dialogue: Professional Techniques for Fiction Authors,Rayne Hall,4.21,227,0,2
Colonist Soldier: A Science Fiction Harem Adventure (Guardian of Vesta Colony Book 1),Dan Raxor,4.08,274,0,2
All Churched Out: The Weary Wife of the Pastor-Book 1,Denise Cook-Godfrey,4.49,229,0,2
Unchained:,Ruby Lionsdrake,4.13,401,2018,1
Rewrite Your Life: Discover Your Truth Through the Healing Power of Fiction (How to Write a Book),Jessica Lourey,4.19,105,2017,6
The Solaris Book of New Science Fiction,George Mann,3.74,263,2007,4
The Long Way Home: thrilling and page-turning crime fiction from the author of the bestselling Inspector Gamache novels,Louise Penny,4.07,"68,485",2014,66
The Robert Silverberg Science Fiction MEGAPACK®,Robert Silverberg,4.05,254,0,3
Grant Us Mercy: Installment Five: Post-Apocalyptic Survival Fiction,D.C. Little,4.62,217,0,1
Fiction Land,R.R. Haywood,4.22,398,0,3
Menial: Skilled Labor in Science Fiction,Kelly Jennings,3.83,58,2013,3
The Rise Of A Dope Boy Chick: An Urban Fiction Novel,Shontaiye Moore,4.63,147,0,2
Nearly Almost Somebody: Feel-good British fiction with Wicca magic and murder,Caroline Batten,3.84,283,2015,4
Anti-Story: An Anthology of Experimental Fiction,Philip Stevick,3.88,137,1971,7
"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time (Portfolio Non Fiction)",Tahl Raz,3.84,"49,016",2005,79
The Witchdoctor's Bones (Inanna Poetry & Fiction Series),Lisa de Nikolits,4.02,47,2014,3
Rocky Mountain Lawmen Series: A Western Fiction Collection,John Legg,4.13,403,0,1
Nearly Almost Somebody: Feel-good British fiction with Wicca magic and murder,Caroline Batten,3.84,283,2015,4
101 Science Fiction Short Stories,Isaac Asimov,4.06,144,0,1
LGBTQ Fiction and Poetry from Appalachia,Jeff Mann,4.39,109,2019,3
A Nun Walks Into A Bar (Nun-Fiction #1),Tracey Jane Jackson,3.63,673,2016,6
Menial: Skilled Labor in Science Fiction,Kelly Jennings,3.83,58,2013,3
The Nature of the Beast: thrilling and page-turning crime fiction from the author of the bestselling Inspector Gamache novels,Louise Penny,4.24,"63,977",2015,45
"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time (Portfolio Non Fiction)",Tahl Raz,3.84,"49,016",2005,79
The Battle of the Sexes in Science Fiction,Justine Larbalestier,3.88,121,2002,4
Chairman Mao Would Not Be Amused: Fiction from Today's China,Howard Goldblatt,3.46,191,1995,5
Lost Moon: Lunar Eclipse: Hard Science Fiction,Brandon Q. Morris,4.00,212,0,7
Chairman Mao Would Not Be Amused: Fiction from Today's China,Howard Goldblatt,3.46,191,1995,5
The Battle of the Sexes in Science Fiction,Justine Larbalestier,3.88,121,2002,4
The Rise Of A Dope Boy Chick: An Urban Fiction Novel,Shontaiye Moore,4.63,147,0,2
"Lightspeed Magazine, Issue 73, June 2016: People of Colo(u)r Destroy Science Fiction!",Nalo Hopkinson,4.33,162,2016,2
Rewrite Your Life: Discover Your Truth Through the Healing Power of Fiction (How to Write a Book),Jessica Lourey,4.19,105,2017,6
The Spiral and The Threads: A Short-Fiction Anthology from The Nod/Wells Timelines,Michael Shotter,4.75,4,0,5
Charlie Chan Is Dead 2: At Home in the World,Jessica Hagedorn,3.89,152,2004,11
LGBTQ Fiction and Poetry from Appalachia,Jeff Mann,4.39,109,2019,3
"A Fatal Fiction (Deadly Edits, #3)",Kaitlyn Dunnett,3.79,371,0,6
"A Fatal Fiction (Deadly Edits, #3)",Kaitlyn Dunnett,3.79,371,0,6
The Year's Best Science Fiction: Nineteenth Annual Collection,Gardner Dozois,4.02,398,2002,11
Lucy,Jamaica Kincaid,3.82,"12,200",1990,66
Mary: A Fiction,Mary Wollstonecraft,3.13,389,1788,62
Temple Secrets Series: Southern Fiction Box Set (2 books in 1 volume),Susan   Gabriel,4.42,198,0,3
5 Editors Tackle the 12 Fatal Flaws of Fiction Writing (The Writer's Toolbox Series),C.S. Lakin,4.39,218,0,3
Notes From Small Planets: Your Pocket Travel Guide to the Worlds of Science Fiction and Fantasy,Nate Crowley,3.96,158,2019,5
Fan Fiction and Fan Communities in the Age of the Internet: New Essays,Karen Hellekson,3.77,168,2006,6
This Planet is Doomed: The Science Fiction Poetry,Sun Ra,4.07,105,2011,4
Elemental: The Tsunami Relief Anthology: Stories of Science Fiction and Fantasy,Steven Savile,3.71,191,2006,6
Fan Fiction and Fan Communities in the Age of the Internet: New Essays,Karen Hellekson,3.77,168,2006,6
"A Fatal Fiction (Deadly Edits, #3)",Kaitlyn Dunnett,3.79,371,0,6
