Title,Author,Average Rating,Rating,Year Published,Edition
Shelter (Shelter Christian Fiction Trilogy Book 1),Robin Merrill,4.06,"2,348",2015,8
"Beginnings, Middles & Ends",Nancy Kress,3.99,"2,456",1992,24
The Art of Fiction,David Lodge,3.92,"2,878",1992,63
Where the God of Love Hangs Out: Fiction,Amy Bloom,3.55,"3,189",2009,26
"The Language of the Night: Essays on Writing, Science Fiction, and Fantasy",Ursula K. Le Guin,4.40,5,0,2
The Breakthrough Effect: A Science-Fiction Thriller,Douglas E. Richards,4.27,"2,342",0,2
Sisters of the Revolution: A Feminist Speculative Fiction Anthology,Ann VanderMeer,4.13,"1,244",2015,11
Gold: The Final Science Fiction Collection,Isaac Asimov,3.98,"3,256",1995,31
"The Fire in Fiction: Passion, Purpose and Techniques to Make Your Novel Great",Donald Maass,4.16,"1,756",2009,7
My Daughter’s Keeper,Adiva Geffen,4.53,"1,779",0,4
Real Life and Other Fictions,Susan Coll,3.72,18,0,2
Maps in a Mirror: The Short Fiction of Orson Scott Card,Orson Scott Card,4.01,"3,319",1990,19
The Skeptics' Guide to the Future: What Yesterday's Science and Science Fiction Tell Us About the World of Tomorrow,Steven Novella,4.09,830,2022,13
Tomorrowland: Our Journey from Science Fiction to Science Fact,Steven Kotler,3.76,"1,387",2015,7
The Motion of Light in Water: Sex and Science Fiction Writing in the East Village,Samuel R. Delany,4.32,"1,115",1988,28
The Turn of the Screw and Other Short Fiction,Henry James,3.77,"3,409",1981,14
Chasing Amanda (Mystery / Suspense) (Melissa Foster Stand-Alone Women's Fiction Novels),Melissa Foster,3.50,"3,335",2011,13
Lake of Souls: The Collected Short Fiction,Ann Leckie,4.13,107,2024,6
"The Art of War for Writers: Fiction Writing Strategies, Tactics, and Exercises",James Scott Bell,4.19,"1,597",2009,14
Secret Windows: Essays and Fiction on the Craft of Writing,Stephen King,4.08,"1,723",2000,13
The Little Disturbances of Man,Grace Paley,3.99,"1,999",1959,39
So Long Been Dreaming: Postcolonial Science Fiction and Fantasy,Nalo Hopkinson,4.00,802,2004,2
"A Place Called Freedom: A Vast, Thrilling Work of Historical Fiction",Ken Follett,4.05,"38,703",1995,148
The Little Disturbances of Man,Grace Paley,3.99,"1,999",1959,39
Miniatures: The Very Short Fiction of John Scalzi,John Scalzi,3.89,"3,196",2016,6
Hooked: Write Fiction That Grabs Readers at Page One & Never Lets Them Go,Les Edgerton,4.01,"1,909",2007,6
"Meanwhile, Elsewhere: Science Fiction and Fantasy from Transgender Writers",Cat Fitzpatrick,3.98,412,2017,2
"Stranger Than Fan Fiction (Unlucky in Love, #1)",Piper Sheldon,4.05,"1,133",2022,3
The Language of the Night: Essays on Fantasy and Science Fiction,Ursula K. Le Guin,4.24,"1,359",1979,29
"Shifting Sands at the Beach House: Feel Good Beachy Women's Fiction (Diamond Beach, #2)",Maggie   Miller,4.53,"2,178",0,2
Where We Belong:,Lynn Austin,4.24,"2,782",2017,15
"Alone With the Horrors: The Great Short Fiction, 1961-1991",Ramsey Campbell,3.95,"1,398",1993,2
The Book of Tokyo: A City in Short Fiction,Michael Emmerich,3.55,"1,147",2014,7
"Shifting Sands at the Beach House: Feel Good Beachy Women's Fiction (Diamond Beach, #2)",Maggie   Miller,4.53,"2,178",0,2
Political Fictions,Joan Didion,3.85,"1,411",2001,17
The Real Story of Ah-Q and Other Tales of China: The Complete Fiction of Lu Xun,Lu Xun,3.92,"1,104",2009,15
"New Day at the Beach House: Feel Good Beachy Women's Fiction (Diamond Beach, #3)",Maggie   Miller,4.53,"1,977",0,2
Master of Middle-Earth: The Fiction of J.R.R. Tolkien,Paul H. Kocher,3.77,"3,145",1972,24
The Big Book of Science Fiction,Ann VanderMeer,4.17,745,2016,7
Walking the Clouds: An Anthology of Indigenous Science Fiction,Grace L. Dillon,3.82,448,2012,6
Complete Shorter Fiction,Oscar Wilde,4.11,"3,568",1894,51
The Vintage Bradbury: The Greatest Stories by America's Most Distinguished Practioner of Speculative Fiction,Ray Bradbury,4.33,"2,122",1965,16
Complete Shorter Fiction,Oscar Wilde,4.11,"3,568",1894,51
Writing Fiction for Dummies,Randy Ingermanson,4.10,"1,608",2009,17
The Man with Eight Pairs of Legs,Leslie Kirk Campbell,4.31,55,2022,2
You Bright and Risen Angels,William T. Vollmann,4.05,"1,024",1987,17
The Original Shades of Gray: Clean romantic Civil War historical fiction: An Epic Civil War Love Story,Jessica           James,3.94,"1,951",2008,7
Masterpieces: The Best Science Fiction of the Twentieth Century,Orson Scott Card,4.21,"1,975",2001,18
"Marta's Legacy Gift Collection: Complete 2-Book Set (Her Mother’s Hope, Her Daughter’s Dream) A Gripping Historical Christian Fiction Family Saga from the 1900s to the 1950s",Francine Rivers,4.54,"1,979",2010,10
Threads of Silk: A Historical Chinese Fiction Novel,Amanda   Roberts,4.15,"2,294",2016,7
The Rhetoric of Fiction,Wayne C. Booth,4.01,"1,240",1961,36
Deer Season,Erin  Flanagan,4.04,835,0,7
"Lady Susan, the Watsons, and Sanditon: Unfinished Fictions and Other Writings",Jane Austen,3.75,"12,115",1817,102
"Speculative Everything: Design, Fiction, and Social Dreaming",Anthony Dunne,4.13,853,2013,8
"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself",David McRaney,3.86,"34,897",2011,37
No Trivial Pursuit,John Ellsworth,4.21,"1,162",0,4
What If?: Writing Exercises for Fiction Writers,Anne Bernays,3.90,"1,819",1990,18
"Sunsets At The Beach House: Feel Good Beachy Women's Fiction (Diamond Beach, #4)",Maggie   Miller,4.53,"1,772",0,2
East Is East,T. Coraghessan Boyle,3.66,"2,659",1990,40
Millennium,John Varley,3.77,"2,782",1983,38
"What Eyes Can't See: A spicy contemporary fiction novel of love, social justice, and belonging",Paulette Stout,4.38,58,0,2
Harem: Historical adventure and intrigue in Ottoman Turkey,Colin Falconer,3.99,"5,311",1992,51
Writing Fiction: The Practical Guide from New York's Acclaimed Creative Writing School,Alexander Steele,4.20,"2,087",2003,16
Call If You Need Me: The Uncollected Fiction and Other Prose,Raymond Carver,4.07,"2,838",2000,55
Scene & Structure,Jack M. Bickham,4.10,"1,517",1993,13
"A Lineage of Grace: Biblical Stories of 5 Women in the Lineage of Jesus - Tamar, Rahab, Ruth, Bathsheba, & Mary",Francine Rivers,4.47,"16,214",2001,7
Fact or Fiction (Sam Prichard #13; Sam and Indie #2),David Archer,4.43,991,0,2
The Philip K. Dick MEGAPACK ®: 15 Classic Science Fiction Stories,Philip K. Dick,4.12,"1,943",2013,4
Long Hidden: Speculative Fiction from the Margins of History,Asher Rose Fox,4.04,432,2014,2
All She Ever Wanted:,Lynn Austin,4.23,"5,824",2005,31
Nordic Visions: The Best of Nordic Speculative Fiction,Margrét Helgadóttir,3.68,133,2023,2
Pacific Blood: A WWII Military Fiction Novel (Decker's Marine Raiders Series Book 1),Scott Cook,4.24,"1,898",0,2
The Spirit of Science Fiction,Roberto Bolaño,3.46,"2,698",2016,41
Fables and Spells: Collected and New Short Fiction and Poetry,Adrienne Maree Brown,4.38,160,2022,2
Talking About Detective Fiction,P.D. James,3.76,"2,172",2009,50
Burning Down the House: Essays on Fiction,Charles Baxter,4.12,"1,429",1997,9
"The Complete Fiction of Nella Larsen: Passing, Quicksand, and The Stories",Nella Larsen,4.16,"1,500",1928,24
Unrestricted Access: New and Classic Short Fiction,James Rollins,4.19,992,2020,1
Safe as Houses,Marie-Helene Bertino,4.17,517,2012,3
Write Away: One Novelist's Approach to Fiction and the Writing Life,Elizabeth  George,3.97,"1,425",2004,34
